codigo,nome,cod_OMM,inicio_operacao,lat,lon,alt,summer_offset,utc_offset,time_zone_id,time_zone_name
A512,Ituiutaba-A512,86775.0,11/05/2006,-18.952907,-49.525072,540,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A563,Janaúba-A563,,19/11/2016,-15.802833,-43.297056,532,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A559,Januária-A559,86710.0,04/06/2016,-15.44808917,-44.36631333,468,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A553,João Pinheiro-A553,86758.0,07/07/2007,-17.78477,-46.119394,877,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A518,Juiz de Fora-A518,86851.0,26/05/2007,-21.769965,-43.364329,937,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A556,Manhuaçu-A556,86825.0,25/09/2010,-20.263378,-42.182817,819,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A540,Mantena-A540,86784.0,01/08/2007,-18.78062,-40.986505,255,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A531,Maria da Fé-A531,86871.0,01/12/2006,-22.314567,-45.373049,1281,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A539,Mocambinho-A539,86720.0,11/11/2007,-15.085958,-44.016036,454,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A526,Montalvânia-A526,86693.0,26/06/2007,-14.408228,-44.404123,520,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A506,Montes Claros-A506,86740.0,16/12/2002,-16.686316,-43.843763,646,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
A509,Monte Verde-A509,86870.0,19/12/2004,-22.861604,-46.043365,1545,3600.0,-10800.0,America/Sao_Paulo,Brasilia Summer Time
